,contributors,coordinates,created_at,entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,source,text,truncated,user
geo_enabled,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,True
has_extended_profile,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
hashtags,,,2018-03-04 05:14:48,[],2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
id,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,970098975935221760,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,59018747
id_str,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,970098975935221760,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,59018747
in_reply_to_screen_name,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
in_reply_to_status_id,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
in_reply_to_status_id_str,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
in_reply_to_user_id,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
in_reply_to_user_id_str,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
